Team,Diff,Home Victory,Opposition,Ground,Match Date,year,opponnents,home_standing,away_standing,temp,pressure,wind
Wales,8,Home,v Italy,Millennium Stadium,01/02/2014,2014,Italy,80.19,73.13,3,1019,14
France,2,Home,v England,Stade de France,01/02/2014,2014,England,80.87,85.7,0,1017,5
France,-5,Away,v Wales,Stade de France,01/02/2019,2019,Wales,77.34,87.26,0,1017,5
Ireland,7,Home,v Scotland,Lansdowne Road,01/02/2020,2020,Scotland,84.24,81.21,0,1020,29
Wales,42,Home,v Italy,Millennium Stadium,01/02/2020,2020,Italy,79.77,70.88,3,1019,14
Ireland,10,Home,v England,Lansdowne Road,01/03/2015,2015,England,82.13,85.68,0,1020,29
Scotland,12,Home,v Wales,Murrayfield,10/02/2007,2007,Wales,76.73,76.87,4,1017,7
England,13,Home,v Italy,Twickenham,10/02/2007,2007,Italy,78.61,72.79,2,1017,11
Italy,-4,Away,v England,Rome,10/02/2008,2008,England,73.29,85.57,8,1004,17
Ireland,-6,Away,v England,Lansdowne Road,10/02/2013,2013,England,80.22,83.9,0,1020,29
Ireland,37,Home,v Italy,Lansdowne Road,10/02/2018,2018,Italy,86.4,71.27,0,1020,29
England,6,Home,v Wales,Twickenham,10/02/2018,2018,Wales,90.88,82.09,2,1017,11
England,36,Home,v France,Twickenham,10/02/2019,2019,France,86.23,77.34,2,1017,11
Scotland,-1,Away,v Ireland,Murrayfield,10/03/2007,2007,Ireland,76.73,84.67,4,1017,7
Italy,3,Home,v Wales,Rome,10/03/2007,2007,Wales,72.79,76.87,8,1004,17
Ireland,18,Home,v Scotland,Lansdowne Road,10/03/2012,2012,Scotland,80.65,76.2,0,1020,29
Wales,21,Home,v Italy,Millennium Stadium,10/03/2012,2012,Italy,79.61,73.99,3,1019,14
England,7,Home,v Italy,Twickenham,10/03/2013,2013,Italy,83.9,76.24,2,1017,11
Wales,13,Home,v Ireland,Millennium Stadium,10/03/2017,2017,Ireland,82.56,84.63,3,1019,14
Ireland,20,Home,v Scotland,Lansdowne Road,10/03/2018,2018,Scotland,86.4,84.13,0,1020,29
France,6,Home,v England,Stade de France,10/03/2018,2018,England,78.11,90.88,0,1017,5
Ireland,12,Home,v France,Lansdowne Road,10/03/2019,2019,France,91.18,77.34,0,1020,29
Italy,-15,Away,v England,Rome,11/02/2006,2006,England,72.18,83.27,8,1004,17
France,12,Home,v Ireland,Stade de France,11/02/2006,2006,Ireland,86.1,80.03,0,1017,5
Ireland,-3,Away,v France,Croke Park,11/02/2007,2007,France,84.67,85.87,0,1020,29
Italy,-4,Away,v England,Rome,11/02/2012,2012,England,73.99,81.58,8,1004,17
Wales,-5,Away,v England,Millennium Stadium,11/02/2017,2017,England,82.56,90.47,3,1019,14
Italy,-53,Away,v Ireland,Rome,11/02/2017,2017,Ireland,72.5,84.63,8,1004,17
Scotland,6,Home,v France,Murrayfield,11/02/2018,2018,France,84.13,78.11,4,1017,7
Ireland,6,Home,v Scotland,Lansdowne Road,11/03/2006,2006,Scotland,80.03,73.52,0,1020,29
Wales,0,Draw,v Italy,Millennium Stadium,11/03/2006,2006,Italy,82.54,72.18,3,1019,14
England,8,Home,v France,Twickenham,11/03/2007,2007,France,78.61,85.87,2,1017,11
France,-2,Away,v England,Stade de France,11/03/2012,2012,England,84.7,81.58,0,1017,5
Italy,-22,Away,v France,Rome,11/03/2017,2017,France,72.5,80.14,8,1004,17
England,40,Home,v Scotland,Twickenham,11/03/2017,2017,Scotland,90.47,80.71,2,1017,11
Wales,24,Home,v Italy,Millennium Stadium,11/03/2018,2018,Italy,82.09,71.27,3,1019,14
Scotland,-27,Away,v Ireland,Murrayfield,12/02/2005,2005,Ireland,74.65,82.61,4,1017,7
Italy,-30,Away,v Wales,Rome,12/02/2005,2005,Wales,72.51,76.91,8,1004,17
Wales,10,Home,v Scotland,Millennium Stadium,12/02/2006,2006,Scotland,82.54,73.52,3,1019,14
Scotland,-18,Away,v Wales,Murrayfield,12/02/2011,2011,Wales,81.2,77.04,4,1017,7
England,46,Home,v Italy,Twickenham,12/02/2011,2011,Italy,82.48,73.31,2,1017,11
Wales,14,Home,v Scotland,Millennium Stadium,12/02/2012,2012,Scotland,79.61,76.2,3,1019,14
France,6,Home,v Scotland,Stade de France,12/02/2017,2017,Scotland,80.14,80.71,0,1017,5
Ireland,-7,Away,v France,Lansdowne Road,12/03/2005,2005,France,82.61,83.7,0,1020,29
England,32,Home,v Italy,Twickenham,12/03/2005,2005,Italy,86.59,72.51,2,1017,11
France,25,Home,v England,Stade de France,12/03/2006,2006,England,86.1,83.27,0,1017,5
Wales,6,Home,v Ireland,Millennium Stadium,12/03/2011,2011,Ireland,77.04,81.79,3,1019,14
Italy,1,Home,v France,Rome,12/03/2011,2011,France,73.31,81.66,8,1004,17
Ireland,43,Home,v Italy,Lansdowne Road,12/03/2016,2016,Italy,81.17,72.79,0,1020,29
England,4,Home,v Wales,Twickenham,12/03/2016,2016,Wales,79.76,83.49,2,1017,11
England,-1,Away,v France,Twickenham,13/02/2005,2005,France,86.59,83.7,2,1017,11
Wales,7,Home,v Scotland,Millennium Stadium,13/02/2010,2010,Scotland,79.89,76.59,3,1019,14
France,23,Home,v Ireland,Stade de France,13/02/2010,2010,Ireland,82.41,84.6,0,1017,5
Ireland,-3,Away,v France,Lansdowne Road,13/02/2011,2011,France,81.79,81.66,0,1020,29
Wales,4,Home,v Scotland,Millennium Stadium,13/02/2016,2016,Scotland,83.49,78.01,3,1019,14
France,1,Home,v Ireland,Stade de France,13/02/2016,2016,Ireland,79.77,81.17,0,1017,5
Scotland,-24,Away,v Wales,Murrayfield,13/03/2005,2005,Wales,74.65,76.91,4,1017,7
Ireland,15,Home,v Wales,Croke Park,13/03/2010,2010,Wales,84.6,79.89,0,1020,29
Scotland,0,Draw,v England,Murrayfield,13/03/2010,2010,England,76.59,80.72,4,1017,7
England,6,Home,v Scotland,Twickenham,13/03/2011,2011,Scotland,82.48,81.2,2,1017,11
Scotland,11,Home,v France,Murrayfield,13/03/2016,2016,France,78.01,79.77,4,1017,7
Wales,13,Home,v Scotland,Millennium Stadium,14/02/2004,2004,Scotland,76.92,76.36,3,1019,14
France,18,Home,v Ireland,Stade de France,14/02/2004,2004,Ireland,82.71,80.53,0,1017,5
Wales,8,Home,v England,Millennium Stadium,14/02/2009,2009,England,81.03,80.87,3,1019,14
France,9,Home,v Scotland,Stade de France,14/02/2009,2009,Scotland,79.51,76.75,0,1017,5
Italy,-5,Away,v England,Rome,14/02/2010,2010,England,72.59,80.72,8,1004,17
Ireland,7,Home,v France,Lansdowne Road,14/02/2015,2015,France,82.13,80.07,0,1020,29
England,30,Home,v Italy,Twickenham,14/02/2015,2015,Italy,85.68,72.05,2,1017,11
