Team,Date,Result,Location,Opposition Debutants,Debutants,Opposition tries in last 5 games,Tries in last 5 games,Opposition Rating,Rating,Games since last loss
Namibia,19/10/2003,57,Sydney,0,0,21,25,58.76,83.92,7
Argentina,26/10/2003,1,Adelaide,0,0,36,32,79.04,83.92,8
Australia,01/11/2003,-1,Melbourne,0,0,40,28,84.76,84.95,9
France,09/11/2003,-22,Melbourne,0,0,24,21,83.57,83.51,1
France,14/02/2004,-18,Stade de France,2,0,16,20,82.71,80.53,1
Wales,22/02/2004,21,Lansdowne Road,0,0,15,17,77.57,79.81,1
England,06/03/2004,6,Twickenham,0,0,13,13,93.99,80.52,2
Italy,20/03/2004,16,Lansdowne Road,2,1,2,13,72.96,82.52,3
Scotland,27/03/2004,21,Lansdowne Road,0,0,4,15,74.1,82.52,4
South Africa,12/06/2004,-14,Bloemfontein,5,0,27,17,81.23,82.52,5
South Africa,19/06/2004,-9,Cape Town,0,1,19,16,82.06,81.69,1
South Africa,13/11/2004,5,Lansdowne Road,0,1,17,12,85.99,81.03,1
USA,20/11/2004,49,Lansdowne Road,0,2,18,12,66.59,82.22,2
Argentina,27/11/2004,2,Lansdowne Road,0,0,35,16,79.05,82.22,3
Italy,06/02/2005,11,Rome,0,0,20,11,72.51,82.61,4
Scotland,12/02/2005,27,Murrayfield,0,0,19,13,74.65,82.9,5
England,27/02/2005,6,Lansdowne Road,0,0,19,16,83.5,83.61,6
France,12/03/2005,-7,Lansdowne Road,1,0,4,16,83.26,84.3,7
Wales,19/03/2005,-12,Millennium Stadium,0,0,29,10,82.32,82.9,1
Japan,12/06/2005,32,Osaka,1,6,26,12,65.48,82.14,1
Japan,19/06/2005,29,Tokyo,0,1,22,13,65.48,82.14,2
New Zealand,12/11/2005,-38,Lansdowne Road,2,2,17,15,92.57,82.14,3
Australia,19/11/2005,-16,Lansdowne Road,1,1,8,15,83.25,81.75,1
Romania,26/11/2005,31,Lansdowne Road,1,1,9,15,66.66,80.03,1
Italy,04/02/2006,10,Lansdowne Road,0,0,16,19,72.18,80.03,2
France,11/02/2006,-12,Stade de France,1,1,19,17,84.15,80.03,3
Wales,26/02/2006,26,Lansdowne Road,1,0,9,14,81.69,79.74,1
Scotland,11/03/2006,6,Lansdowne Road,0,0,7,16,76.98,81.08,2
England,18/03/2006,4,Twickenham,0,0,15,15,81.92,81.37,3
New Zealand,10/06/2006,-11,Hamilton,3,0,20,12,93.32,82.73,4
New Zealand,17/06/2006,-10,Auckland,1,2,19,12,93.32,82.73,1
Australia,24/06/2006,-22,Perth,1,0,16,10,84.86,82.73,1
South Africa,11/11/2006,17,Lansdowne Road,3,1,11,9,87.05,82,1
Australia,19/11/2006,15,Lansdowne Road,0,0,13,13,85.47,83.8,2
